email,highnotifications,highbenmed,highexperience,lowexperience,med_experience,nut_experience,highnotifdist,highnotifremind,highdifficulty,dailynotif_selfreport,dailynotif,dailynotif_test,dailynotif_msg,dailynotif_update,dailynotif_remind,dailynotif_other,dailynotif_act,dailynotif_dist,lownotifications,notifyingapps,rel_ben_med,rel_cost_med,net_rel_ben_med,med_ever,nuttrack_ever,med_last_month,nuttrack_last_month,med_daily_ever,nuttrack_daily_ever,experience,imp_med,imp_exercise,imp_nut,imp_sleep,fun_med,fun_exercise,fun_nut,fun_sleep,diff_med,diff_exercise,diff_nut,diff_sleep
E0017,0,0,1,0,2,3,0,1,0,3,5.142857074737549,0,3,0.1428571492433548,2,0,2,3.142857149243355,-1,4,-3.2,4,-7.2,1,1,0,1,1,1,5,6.8,10,10,8.2,3,6,4,7,3,4.9,0,4.9
E0018,0,1,1,0,3,1,1,0,1,15,54,0,50,3,0,1,0,53,-1,3,0.2,-9.7,9.899999999999999,1,1,1,0,1,0,4,9.4,8.8,9.2,8.6,7.6,8.1,3.4,9.6,3.6,3.4,9.1,2.5
E0019,0,1,0,1,3,0,0,0,0,5,7,0,0,6,1,0,1,6,-1,4,3.6,-12,15.6,1,0,1,0,1,0,3,8.6,10,5,10,10,3,4,10,2,6,8,10
E0020,0,0,1,0,3,2,0,1,0,5,17,0,12,1,4,0,4,13,-1,5,0,3.3,-3.3,1,1,1,0,1,1,5,10,10,10,9.8,9.7,8.7,10,10,5,6.1,2,8.2
E0021,1,1,1,0,2,2,1,0,1,50,50.28571319580078,0,40,7.857142925262451,0.4285714328289032,2,0.4285714328289032,47.85714292526245,0,7,3,-13.5,16.5,1,1,0,0,1,1,4,8,10,5,10,9,10,0,8.4,3.5,0,8,0
E0022,1,0,1,0,2,3,1,1,0,100,148,0,80,63,5,0,5,143,0,20,-3,-1.8,-1.2,1,1,0,1,1,1,5,4,7.5,7,8.2,7.9,6.9,5.6,2.3,2.6,2,2.1,2.1
E0023,1,0,1,0,3,3,1,1,1,50,49.42856979370117,0,30,16.28571319580078,3.142857074737549,0,3.142857074737549,46.28571319580078,0,12,-4,3,-7,1,1,1,1,1,1,6,3.5,7.5,7.5,10,6,6,4,10,9,6,4,0
E0024,0,0,1,0,2,2,0,0,1,5,3.4285714626312256,0,2,0.4285714626312256,1,0,1,2.4285714626312256,-1,4,-1.9,5.2,-7.1,1,1,1,0,0,1,4,2,7.2,3.9,5.3,3.5,4.1,4.2,0.2,8.6,6.3,4.1,10
E0025,1,0,1,0,3,3,0,1,0,20,19,0,5,0,14,0,14,5,0,4,0,4,-4,1,1,1,1,1,1,6,10,10,10,10,5,5,5,5,5,7.5,1,7.4
E0026,1,1,1,0,3,2,1,0,0,100,170,0,145,25,0,0,0,170,0,8,2,-9,11,1,1,1,0,1,1,5,6,7,4,9,7,0,2,0,2,9,6,8
E0027,0,1,1,0,3,2,1,1,1,15,63.71428680419922,0,25.571428298950195,35.42857360839844,2.142857074737549,0.5714285969734192,2.142857074737549,61.00000190734863,-1,15,10,-14.2,24.2,1,1,1,0,1,1,5,10,8,0,10,9.5,7,0,5,5.3,7,10,2
E0028,0,1,1,0,2,2,0,0,1,4,12.85714340209961,0,12.85714340209961,0,0,0,0,12.85714340209961,-1,2,-0.5,-3.2,2.7,1,1,0,0,1,1,4,8.5,10,9,10,8.7,10,7,10,6.5,8.5,8,8.5
E0029,1,0,0,1,2,0,1,0,0,80,98.5714340209961,0,78.42857360839844,20.14285659790039,0,0,0,98.57143020629883,0,11,-0.5,-1.5,1,1,0,0,0,1,0,2,7,8,7.5,10,6,5,4,10,3.5,6,3,8.5
E0030,1,1,1,0,3,2,1,0,0,100,45.14285659790039,0,35,10.142857551574707,0,0,0,45.14285755157471,0,5,1.9,-12,13.9,1,1,1,0,1,1,5,10,10,8.1,9,9.7,10,2.9,5.5,0,0,5.2,8
E0031,1,1,1,0,2,2,0,1,0,30,47,0,0,25,2,20,2,25,0,4,-1.5,-5.7,4.2,1,1,0,0,1,1,4,7,8.2,8.5,8.9,7.6,7.4,2.5,8.1,3.2,6.7,3.8,2.4
E0032,1,1,1,0,2,2,1,0,1,35,37,0,11,25,1,0,1,36,0,12,5.9,-12.5,18.4,1,1,0,0,1,1,4,8.4,9.5,2.5,9.5,8,7,0.5,9,3,3,8,1
E0033,0,1,0,1,2,0,0,0,1,3,10,0,10,0,0,0,0,10,-1,2,5.5,-8.6,14.1,1,0,1,0,0,0,2,9.6,9.5,4.1,10,10,5.3,2.3,10,5.9,7.2,6.8,7.6
E0034,1,1,1,0,3,2,0,1,0,25,23.49431800842285,0,18.285715103149414,0.2086033672094345,5,0,5,18.49431847035885,0,8,1,-6,7,1,1,1,0,1,1,5,7,9,6,9,7,6,2,7,4,7.5,5,3
E0035,1,1,0,1,2,0,0,0,1,40,2.1757302284240723,0,0,2,0.17573025822639465,0,0.17573025822639465,2,0,4,1.8,-9.8,11.600000000000001,1,0,1,0,0,0,2,10,10,8.2,10,10,7.3,3.9,10,6.1,7.7,9.8,4.5
E0036,0,1,0,1,1,2,0,0,1,4,8,0,3,5,0,0,0,8,-1,3,-2,-5,3,1,1,0,0,0,1,3,4,7.6,6,8,4.1,5.8,2.2,4,4.4,9.5,7.5,10
E0037,0,1,1,0,2,2,1,1,0,5,71,0,58,2,8,3,8,60,-1,8,-1,-4.9,3.9000000000000004,1,1,0,0,1,1,4,9,10,10,10,10,4,7.1,10,4,8,6,6
E0038,1,1,0,1,3,0,1,1,1,25,50.42856979370117,0,30,17.428571701049805,3,0,3,47.428571701049805,0,12,4.8,-7.9,12.7,1,0,1,0,1,0,3,7,9.9,2.2,6.1,8,6.7,3.6,7.3,3.9,6.6,7.4,6.7
E0039,1,1,1,0,2,3,1,1,0,50,70,0,63,5,2,0,2,68,0,82,0,-7,7,1,1,1,1,0,1,5,6,10,6,10,10,10,10,10,0,4,7,0
E0040,0,0,1,0,2,3,0,0,1,0,5,0,5,0,0,0,0,5,-1,1,-2.1,4,-6.1,1,1,0,1,1,1,5,7.4,9.5,9.5,9,5.3,9.6,7.9,10,7.8,6.9,6.4,8.7
E0041,0,1,1,0,2,3,0,0,1,15,6.307222843170166,0,1,5.307222366333008,0,0,0,6.307222366333008,-1,5,0.8,-1.9,2.7,1,1,1,1,0,1,5,7.8,5.2,7,9.2,6.2,6.4,4.1,6.4,5.8,2.5,5.6,6.8
E0042,0,0,1,0,3,1,0,1,1,10,9.142857551574707,0,0.4285714328289032,0,3.7142858505249023,5,3.7142858505249023,0.4285714328289032,-1,5,0,0,0,1,1,1,0,1,0,4,10,10,10,10,6.5,5,5.5,6,7,7.9,6,7
E0043,1,0,1,0,1,3,1,1,0,55,95.81290435791016,0,73.57142639160156,18.428571701049805,3.8129050731658936,0,3.8129050731658936,91.99999809265137,0,18,-5.9,-0.8,-5.1000000000000005,1,1,0,1,0,1,4,3.2,7.4,9.1,9.1,8.5,6.7,4.5,10,4.9,5.9,1.7,9.3
E0044,1,1,1,0,3,2,1,1,1,30,47,0,45,0,2,0,2,45,0,4,4,-9.9,13.9,1,1,1,0,1,1,5,10,10,6,10,10,10,2,10,8.1,4,10,4
E0045,1,0,1,0,3,3,0,1,0,30,27,0,20,3,4,0,4,23,0,3,1,0.7,0.30000000000000004,1,1,1,1,1,1,6,8,8,7,9,7,4,5,9,6.7,4,4,9
E0046,0,1,1,0,2,2,0,1,1,10,13,0,4,4,5,0,5,8,-1,4,4.1,-5,9.1,1,1,0,0,1,1,4,8,10,3.9,8.1,9.7,8.5,3.8,7.4,7.9,3.5,7,3.4
E0047,1,0,0,1,0,2,0,0,1,20,20,0,15,5,0,0,0,20,0,6,-3.5,2.2,-5.7,0,1,0,0,0,1,2,5.6,8.1,9.1,8.3,5.7,7.7,7.6,9.5,6.1,8,5.8,9.3
E0048,0,0,0,1,1,2,0,0,1,6,12.85714340209961,0,12.85714340209961,0,0,0,0,12.85714340209961,-1,2,-0.8,-0.3,-0.5,1,1,0,0,0,1,3,6.8,9,7.6,10,5.8,4.3,5.6,7.1,5.6,6.9,5.7,4.1
E0049,1,0,1,0,2,2,0,1,1,20,18,0,11,5,2,0,2,16,0,5,-3.6,0.5,-4.1,1,1,0,0,1,1,4,1.6,7,5.2,7.5,2.7,5,0,8.5,7,6.1,3.8,7.3
E0050,0,1,0,1,1,2,0,0,1,10,10,0,7,3,0,0,0,10,-1,3,-1,-5.2,4.2,1,1,0,0,0,1,3,8,10,9,10,7.1,8.1,3.1,9.2,6,4,7.2,1
E0051,1,0,1,0,3,3,1,1,1,100,104.14286041259766,0,59.71428680419922,30,14,0.4285714328289032,14,89.71428680419922,0,12,-2.4,3.4,-5.8,1,1,1,1,1,1,6,6.4,8.5,8.8,8.7,4,6.7,6.4,10,7.6,3.7,6.6,2.2
E0052,1,1,1,0,2,2,1,1,1,30,58.857139587402344,0,31.428571701049805,22.428571701049805,5,0,5,53.85714340209961,0,15,-4,-7.4,3.4000000000000004,1,1,1,1,0,0,4,6,10,10,10,8.5,10,4,7,4,2.1,6.9,6.5
E0053,1,0,1,0,3,3,1,1,0,500,127.71428680419922,0,60,48,19,0.7142857313156128,19,108,0,65,-2.5,6.3,-8.8,1,1,1,1,1,1,6,7.5,9.5,10,5.2,1.2,0.3,3.2,10,6.3,8.4,2,8.5
E0054,1,0,0,1,0,3,1,1,0,100,135,0,122,2,11,0,11,124,0,8,-5,7.7,-12.7,0,1,0,1,0,1,3,5,10,10,10,6,3.7,10,10,3.7,8,0,6
E0055,1,0,1,0,1,3,1,1,0,60,75.14286041259766,0,23,26.14285659790039,26,0,26,49.14285659790039,0,10,-1.3,9.2,-10.5,1,1,0,1,0,1,4,8.7,10,10,9.8,7.7,5.9,8.6,10,8.3,9.3,0,6.3
E0056,0,1,1,0,3,3,0,0,1,5,14,0,7,3,0,4,0,10,-1,5,3,-1.1,4.1,1,1,1,1,1,1,6,10,10,7,9,5,7.1,4,5,6,7,6.1,8
E0057,0,0,0,1,0,2,0,1,1,18,24.85714340209961,0,13.428571701049805,3.4285714626312256,6,2,6,16.85714316368103,-1,8,-0.5,0.5,-1,0,1,0,0,0,1,2,5.5,9,6,10,6,7.5,2.5,7.5,8.5,7.5,4.5,5
E0058,1,1,0,1,0,2,1,0,0,30,51.28571319580078,0,47.28571319580078,3,1,0,1,50.28571319580078,0,7,-1.1,-5.8,4.699999999999999,0,1,0,0,0,1,2,5.6,10,6.7,9.1,6.3,7,2,6.4,3,0.8,4.5,2.1
E0059,1,0,1,0,2,2,0,1,0,20,26.59293556213379,0,18.714284896850586,2.142857074737549,5.164365768432617,0.5714285969734192,5.164365768432617,20.857141971588135,0,41,-3,1,-4,1,1,0,0,1,1,4,7,10,10,10,5,3,5,10,4,3,3,0
E0060,1,0,0,1,1,2,1,1,1,30,40.71428298950195,0,25.285715103149414,13,2.4285714626312256,0,2.4285714626312256,38.285715103149414,0,10,-1.1,1.5,-2.6,1,1,0,0,0,1,3,2,10,3.1,10,4,10,4,10,7,0,5.5,7.1
E0061,0,1,1,0,2,2,0,0,0,0,0.4285714626312256,0,0.2857142984867096,0,0.1428571492433548,0,0.1428571492433548,0.2857142984867096,-1,2,2,-6,8,1,1,0,0,1,1,4,6,6,4,9,4,2,2,9,2,8,6,1
E0062,0,0,0,1,1,0,0,0,0,12,12,0,4,3,0,5,0,7,-1,5,-1.5,-0.5,-1,1,0,0,0,0,0,1,5.5,6,7,7.5,4,5.5,6,8,2,5,4.5,2
E0063,1,0,1,0,2,2,1,1,0,30,54.57142639160156,0,33.42856979370117,16,5.142857074737549,0,5.142857074737549,49.42856979370117,0,10,-0.3,-0.7,0.39999999999999997,1,1,1,0,0,1,4,8.1,10,8.4,10,8.9,8.4,6.1,10,6.1,6,4,3.9
E0064,1,0,1,0,3,2,1,0,0,20,71.14286041259766,0,62,7.714285850524902,1.4285714626312256,0,1.4285714626312256,69.7142858505249,0,9,-0.6,2.1,-2.7,1,1,1,0,1,1,5,8.1,9.2,8.7,9.1,9.2,10,8.3,10,6.6,6.1,3.6,6.5
E0065,1,1,1,0,3,3,0,1,0,30,25,0,13,6,6,0,6,19,0,20,1.3,-1.6,2.9000000000000004,1,1,1,1,1,1,6,7.5,7.8,6.2,7.6,3.3,4.2,3.1,5.9,3.5,4.3,4.9,4.3
E0066,0,0,1,0,2,2,0,0,0,15,15.285714149475098,0,15.285714149475098,0,0,0,0,15.285714149475098,-1,3,-3.1,-0.4,-2.7,1,1,0,0,1,1,4,5,8,8.1,9,6,0.8,3.9,10,5.7,8,4,4.8
E0067,1,1,1,0,3,3,1,1,0,132,102.85713958740234,0,84.85713958740234,12,6,0,6,96.85713958740234,0,30,-2.5,-11,8.5,1,1,1,1,1,1,6,6,9,8.5,10,7,7,0,10,3,7,7,5
E0068,1,0,1,0,3,3,1,0,1,30,49,0,34,15,0,0,0,49,0,6,-0.9,-1.3,0.4,1,1,1,1,1,1,6,8.2,9.2,9.1,8.6,7.4,3.6,6.9,9.5,6.1,9.7,6.9,7.3
E0069,1,1,1,0,3,3,0,1,1,20,20.285715103149414,0,10,3,7.285714149475098,0,7.285714149475098,13,0,10,-0.5,-3,2.5,1,1,1,1,1,1,6,9.5,10,10,10,7,5,5,5,6,9,7,5
E0070,0,0,1,0,2,3,0,0,0,15,22.285715103149414,0,11.428571701049805,10.85714340209961,0,0,0,22.285715103149414,-1,5,-1,0,-1,1,1,0,1,1,1,5,8,9,9,7.5,8,7,5,3,5,2,2,8
E0071,1,0,1,0,2,2,1,0,0,60,56.857139587402344,0,35,21.85714340209961,0,0,0,56.85714340209961,0,7,-1.6,-3.2,1.6,1,1,0,0,1,1,4,6,8,7.6,8,6.8,6.6,3.6,7,4,6.5,4,2
E0072,1,1,1,0,3,2,1,1,0,100,474,0,90,225,9,150,9,315,0,10,2,-13,15,1,1,1,0,1,1,5,10,10,8,10,8.6,3.8,2.6,9.5,1.6,8.7,8.6,8.8
E0073,1,1,1,0,3,2,0,0,1,30,15,0,15,0,0,0,0,15,0,1,4.3,-9.6,13.899999999999999,1,1,1,0,1,1,5,8.3,10,4,10,8.2,8.4,1.3,6.8,5.1,5.9,7.8,6.5
E0074,1,1,0,1,1,2,0,1,1,20,31,0,15,4,12,0,12,19,0,5,-1.4,-4.7,3.3000000000000003,1,1,0,0,0,1,3,6.3,10,7.7,7.6,6.8,7.7,3.5,7.7,6.6,4.5,8,6.8
E0075,1,0,1,0,2,2,0,1,1,20,28,0,22,2,4,0,4,24,0,12,-2.6,-3.2,0.6000000000000001,1,1,1,0,0,1,4,7.3,10,9.9,9.8,6.2,9.3,4,9.6,6.3,0,7.3,3.6
E0076,1,1,1,0,3,3,1,1,0,75,56.85714340209961,0,16,35,5.857142925262451,0,5.857142925262451,51,0,11,1,-6.9,7.9,1,1,1,1,1,1,6,10,7.4,9,8.1,10,7,5.2,2.3,0,8.9,2.1,10
E0077,1,1,1,0,2,2,1,1,0,30,170.71429443359375,0,161.42857360839844,6,3.2857143878936768,0,3.2857143878936768,167.42857360839844,0,7,-4,-9,5,1,1,1,0,0,1,4,6,8.5,10,10,6.8,6,3.5,10,2,0,7.7,9.5
E0078,1,1,1,0,2,2,1,0,1,50,79,0,53,26,0,0,0,79,0,5,2.8,-8.8,11.600000000000001,1,1,0,0,1,1,4,10,10,7.2,10,9.1,7.3,1.1,10,7.7,9.1,8.5,10
E0079,1,0,0,1,1,2,0,1,1,30,24,0,18,4,2,0,2,22,0,5,-3.4,-2.7,-0.6999999999999997,1,1,0,0,0,1,3,5.2,8.9,8.6,7.6,5.7,5.8,4.2,5.2,6,9.5,7.2,7.8
E0080,1,1,0,1,1,2,1,1,1,50,56,0,30,22,4,0,4,52,0,16,-1,-9.2,8.2,1,1,0,0,0,1,3,7,9,8,8,6.4,6.5,0.8,8.1,3.6,6.1,7.2,3.4
E0081,1,0,1,0,2,2,1,1,0,30,34,0,20,10,4,0,4,30,0,4,-0.8,-1.3,0.5,1,1,0,0,1,1,4,7.2,10,8,10,4.5,4.4,4,7.3,2.8,8.5,3.6,6.4
E0082,0,1,1,0,3,2,0,0,1,12,19.28571319580078,0,19,0,0.2857142984867096,0,0.2857142984867096,19,-1,5,4.8,-1.4,6.199999999999999,1,1,1,0,1,1,5,7,10,2.2,8.5,4,7,1.2,5.7,7.6,3.7,6.2,10
E0083,0,1,1,0,3,2,1,0,0,10,41.35145568847656,0,9.285714149475098,32.03287124633789,0.032873108983039856,0,0.032873108983039856,41.31858539581299,-1,10,4,-5.5,9.5,1,1,1,0,1,1,5,10,10,6,10,10,10,7,10,0,5,2.5,8
E0084,0,0,1,0,1,3,1,1,1,10,106.85713958740234,0,90,7.857142925262451,9,0,9,97.85714292526245,-1,12,-6,0.6,-6.6,1,1,0,1,0,1,4,4,8.1,10,9.5,7,7.5,5.1,10,9.5,8,7,2.4
E0085,1,0,1,0,2,2,0,1,1,20,20,0,6,10,4,0,4,16,0,4,0,3,-3,1,1,0,0,1,1,4,10,10,10,10,10,10,10,10,7,4,4,4.9
E0086,0,0,0,1,1,2,0,0,0,15,23.285715103149414,0,15,8.285714149475098,0,0,0,23.285714149475098,-1,4,-4.7,4.8,-9.5,1,1,0,0,0,1,3,2.4,7.1,7.1,6.2,4.3,6.3,6.9,7.5,6,8.3,3.8,6.1
E0087,0,0,0,1,1,2,0,1,1,10,24.428571701049805,0,14,7,2,1.4285714626312256,2,21,-1,10,-3,4,-7,1,1,0,0,0,1,3,7,10,10,10,5,4.1,1.9,10,10,10,2.9,8
E0088,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-7,7,1,1,1,1,0,1,5,5,8,5,9,6,6.1,1,8.1,1,4,3,0
E0089,0,0,1,0,2,2,0,1,0,6,20,0,10,3,7,0,7,13,-1,6,-0.2,-0.6,0.39999999999999997,1,1,0,0,1,1,4,7.1,8.6,7.3,9,6.9,4.3,6.5,8.5,3.9,7.7,4.1,6.1
E0090,0,0,0,1,2,1,0,0,1,3,5.571428298950195,0,0.1428571492433548,5.285714149475098,0.1428571492433548,0,0.1428571492433548,5.4285712987184525,-1,5,-2.2,1,-3.2,1,1,1,0,0,0,3,5.2,8.5,7.4,8,10,10,8,10,9,6,6,9.1
E0091,1,1,0,1,2,1,1,0,1,50,55.857139587402344,0,55,0.5714285969734192,0.2857142984867096,0,0.2857142984867096,55.57142859697342,0,7,8,-12.6,20.6,1,1,1,0,0,0,3,8,10,0,10,6.6,10,0,7.6,4,7,10,3
E0092,1,1,1,0,2,2,0,0,1,35,28.241477966308594,0,23.71428680419922,4.428571701049805,0.09861932694911957,0,0.09861932694911957,28.142858505249023,0,15,3.7,-8.5,12.2,1,1,0,0,1,1,4,7.3,10,3.6,6.7,6.5,5,1.4,10,4.5,5.7,7.9,10
E0093,1,0,0,1,0,3,0,1,0,20,19.592937469482422,0,6,3.384333610534668,10.208603858947754,0,10.208603858947754,9.384333610534668,0,16,-3,5.1,-8.1,0,1,0,1,0,1,3,7,10,10,8.1,8.5,8,9.6,10,7,4,3,1.4
E0094,0,1,0,1,1,2,0,0,1,6,11.592937469482422,0,10.164365768432617,0,1.4285714626312256,0,1.4285714626312256,10.164365768432617,-1,3,-3,-5.2,2.2,1,1,0,0,0,1,3,7,10,10,8.6,8,8.9,4.1,3.9,6.9,4.7,8.2,9.1
E0095,1,1,0,1,1,2,1,0,1,100,87,0,80,6,1,0,1,86,0,5,-1.8,-9.3,7.500000000000001,1,1,0,0,0,1,3,2.3,7.6,4.1,6.5,4,5.6,0.2,9.1,2.8,8,8.3,6.2
E0096,0,1,1,0,2,3,0,0,0,6,5.5714287757873535,0,0.7142857313156128,4.857142925262451,0,0,0,5.571428656578064,-1,3,-1.3,-4.2,2.9000000000000004,1,1,0,1,1,1,5,7.1,10,8.4,10,6.5,7.8,3.4,6.3,3.1,6.4,4.2,2.5
E0097,1,0,1,0,1,3,1,1,0,20,50.12012481689453,0,25.428571701049805,20.428571701049805,4.262984752655029,0,4.262984752655029,45.85714340209961,0,8,-10,5.7,-15.7,1,1,0,1,0,1,4,0,10,10,9,0.3,6.9,5.5,7.4,5.3,2.6,4.8,0.9
E0098,1,1,1,0,2,3,1,1,1,50,70,0,55,12,3,0,3,67,0,37,-1,-4,3,1,1,0,1,1,1,5,7,10,8,8,6,9,3,8,7,4,8,7
E0099,1,1,1,0,3,3,1,0,0,50,160.14285278320313,0,139.14285278320313,20,1,0,1,159.14285278320313,0,10,-2,-8,6,1,1,1,1,1,1,6,8,10,10,10,4,1,2,10,2,7,8,1
E0100,1,0,0,1,0,2,0,1,1,30,30,0,15,0,15,0,15,15,0,3,-8.3,0.3,-8.600000000000001,0,1,0,0,0,1,2,1.7,7.1,10,10,5.5,8,5.1,10,7,0,6.3,1.9
E0101,1,0,1,0,2,3,1,1,0,100,114.14286041259766,0,82,7.142857074737549,25,0,25,89.14285707473755,0,8,-1,-2,1,1,1,0,1,1,1,5,6.9,8.2,7.9,7.3,8.1,6,1.6,5.2,6.8,4.3,2.3,7.8
E0102,1,1,1,0,3,3,1,1,1,70,124,0,60,46,12,6,12,106,0,20,5.7,-6.2,11.9,1,1,1,1,1,1,6,9.1,10,3.4,7.1,6.3,2.9,0.5,7.9,6.1,9.6,6.5,6.1
E0103,0,1,1,0,3,2,0,0,1,15,2.2857143878936768,0,0,0.7142857313156128,1.5714285373687744,0,1.5714285373687744,0.7142857313156128,-1,4,0.2,-6.5,6.7,1,1,1,0,1,1,5,7.2,7.9,7,8.5,10,8,4.5,7.5,5,4.3,6,4.5
E0104,1,1,1,0,3,3,0,1,0,20,21,0,10,8,3,0,3,18,0,5,0,-3.1,3.1,1,1,1,1,1,1,6,7,10,7,7,8,8,3,7,6,6,4.1,4
E0105,0,0,1,0,2,2,0,0,1,10,26,0,26,0,0,0,0,26,-1,2,-2.3,5.3,-7.6,1,1,0,0,1,1,4,7.7,10,10,10,3.4,8.7,7.9,10,7.9,7.3,7.1,5.8
E0106,0,1,1,0,2,2,0,0,0,15,27,0,23,4,0,0,0,27,-1,4,1.7,-3.1,4.8,1,1,1,0,0,1,4,9.1,10,7.4,8.2,7,2.2,2.7,8.4,5.2,8.1,4,6.6
E0107,1,0,0,1,0,3,1,0,0,100,98,0,70,28,0,0,0,98,0,14,-2.7,2.4,-5.1,0,1,0,1,0,1,3,4.8,7.5,7.5,6.5,6,8,3.4,6.1,6.5,0,1.5,5.3
E0108,0,1,0,1,1,2,1,0,1,15,41.42857360839844,0,41,0,0,0.4285714328289032,0,41,-1,5,3.5,-3.9,7.4,1,1,0,0,0,1,3,8.5,8.2,5,8,9.5,6.5,3.1,10,8.5,7.5,6,5.5
E0109,0,1,0,1,1,2,0,1,1,10,18,0,4,11,3,0,3,15,-1,4,-0.2,-2.5,2.3,1,1,0,0,0,1,3,6.5,8.5,6.7,8.4,6.8,7.7,3.3,6.6,7.5,6.3,6.5,4.4
E0110,1,0,0,1,1,2,0,1,0,20,22,0,20,0,2,0,2,20,0,3,-4,-2,-2,1,1,0,0,0,1,3,4,10,8,10,0,6,3,10,0,7,5,7
E0111,0,1,0,1,3,0,0,0,1,5,25.714284896850586,0,25,0.7142857313156128,0,0,0,25.714285731315613,-1,3,6.7,-12.3,19,1,0,1,0,1,0,3,10,10,3.3,10,10,9.5,1,10,4,0,7.3,10
